"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 08:58:07 GMT 2024","Tue Mar 19 08:58:08 GMT 2024","103","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Tue Mar 19 08:57:55 GMT 2024","Tue Mar 19 08:57:56 GMT 2024","217","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Tue Mar 19 08:58:19 GMT 2024","Tue Mar 19 08:58:19 GMT 2024","81","Connectors",".then()","","","","yields the original subject without return",""
"passed","Tue Mar 19 08:57:47 GMT 2024","Tue Mar 19 08:57:47 GMT 2024","210","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Tue Mar 19 08:58:05 GMT 2024","Tue Mar 19 08:58:06 GMT 2024","710","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Tue Mar 19 08:57:58 GMT 2024","Tue Mar 19 08:57:58 GMT 2024","197","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"failed","Tue Mar 19 08:57:52 GMT 2024","Tue Mar 19 08:58:03 GMT 2024","10577","Actions","","","","",".submit() - submit a form",""
"passed","Tue Mar 19 08:57:46 GMT 2024","Tue Mar 19 08:57:46 GMT 2024","302","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Tue Mar 19 08:58:30 GMT 2024","Tue Mar 19 08:58:31 GMT 2024","226","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Tue Mar 19 08:57:51 GMT 2024","Tue Mar 19 08:57:52 GMT 2024","376","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Tue Mar 19 08:58:01 GMT 2024","Tue Mar 19 08:58:01 GMT 2024","88","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Tue Mar 19 08:58:14 GMT 2024","Tue Mar 19 08:58:14 GMT 2024","85","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Tue Mar 19 08:58:30 GMT 2024","Tue Mar 19 08:58:30 GMT 2024","515","Misc","","","","","cy.exec() - execute a system command",""
"passed","Tue Mar 19 08:58:14 GMT 2024","Tue Mar 19 08:58:14 GMT 2024","76","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Tue Mar 19 08:58:18 GMT 2024","Tue Mar 19 08:58:18 GMT 2024","202","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Tue Mar 19 08:57:42 GMT 2024","Tue Mar 19 08:57:43 GMT 2024","1004","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Tue Mar 19 08:58:24 GMT 2024","Tue Mar 19 08:58:24 GMT 2024","69","Cypress.env()","","","","","Get environment variables",""
"passed","Tue Mar 19 08:58:18 GMT 2024","Tue Mar 19 08:58:18 GMT 2024","71","Window","","","","","cy.document() - get the document object",""
