"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 22:55:21 GMT 2024","Sun Mar 17 22:55:22 GMT 2024","409","Misc","","","","",".end() - end the command chain",""
"passed","Sun Mar 17 22:55:03 GMT 2024","Sun Mar 17 22:55:03 GMT 2024","425","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Sun Mar 17 22:54:40 GMT 2024","Sun Mar 17 22:54:41 GMT 2024","308","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Sun Mar 17 22:55:01 GMT 2024","Sun Mar 17 22:55:02 GMT 2024","1076","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Sun Mar 17 22:55:16 GMT 2024","Sun Mar 17 22:55:16 GMT 2024","79","Cypress.platform","","","","","Get underlying OS name",""
"passed","Sun Mar 17 22:54:58 GMT 2024","Sun Mar 17 22:54:59 GMT 2024","106","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Sun Mar 17 22:54:41 GMT 2024","Sun Mar 17 22:54:41 GMT 2024","381","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sun Mar 17 22:55:12 GMT 2024","Sun Mar 17 22:55:12 GMT 2024","240","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Sun Mar 17 22:54:43 GMT 2024","Sun Mar 17 22:54:43 GMT 2024","105","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Sun Mar 17 22:54:57 GMT 2024","Sun Mar 17 22:54:57 GMT 2024","176","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Sun Mar 17 22:54:41 GMT 2024","Sun Mar 17 22:54:42 GMT 2024","306","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Sun Mar 17 22:54:59 GMT 2024","Sun Mar 17 22:55:01 GMT 2024","2101","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sun Mar 17 22:55:06 GMT 2024","Sun Mar 17 22:55:06 GMT 2024","72","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"failed","Sun Mar 17 22:55:15 GMT 2024","Sun Mar 17 22:55:15 GMT 2024","216","Cypress.config()","","","","","Get and set configuration options",""
"passed","Sun Mar 17 22:55:10 GMT 2024","Sun Mar 17 22:55:10 GMT 2024","78","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Sun Mar 17 22:54:49 GMT 2024","Sun Mar 17 22:54:51 GMT 2024","2529","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Sun Mar 17 22:55:13 GMT 2024","Sun Mar 17 22:55:13 GMT 2024","87","Cookies","","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Sun Mar 17 22:54:57 GMT 2024","Sun Mar 17 22:54:57 GMT 2024","92","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Sun Mar 17 22:54:38 GMT 2024","Sun Mar 17 22:54:38 GMT 2024","282","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Sun Mar 17 22:54:55 GMT 2024","Sun Mar 17 22:54:56 GMT 2024","1813","Actions","","","","",".click() - click on a DOM element",""
"passed","Sun Mar 17 22:55:22 GMT 2024","Sun Mar 17 22:55:22 GMT 2024","517","Misc","","","","","cy.exec() - execute a system command",""
"passed","Sun Mar 17 22:54:58 GMT 2024","Sun Mar 17 22:54:58 GMT 2024","100","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sun Mar 17 22:54:36 GMT 2024","Sun Mar 17 22:54:37 GMT 2024","1127","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sun Mar 17 22:55:06 GMT 2024","Sun Mar 17 22:55:06 GMT 2024","89","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Sun Mar 17 22:54:44 GMT 2024","Sun Mar 17 22:54:44 GMT 2024","448","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Sun Mar 17 22:55:23 GMT 2024","Sun Mar 17 22:55:24 GMT 2024","71","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Mar 17 22:55:15 GMT 2024","Sun Mar 17 22:55:15 GMT 2024","67","Cypress.dom","","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Sun Mar 17 22:55:06 GMT 2024","Sun Mar 17 22:55:06 GMT 2024","90","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Sun Mar 17 22:54:57 GMT 2024","Sun Mar 17 22:54:57 GMT 2024","85","Traversal","","","","",".last() - get last DOM element",""
"passed","Sun Mar 17 22:55:03 GMT 2024","Sun Mar 17 22:55:04 GMT 2024","629","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Sun Mar 17 22:55:15 GMT 2024","Sun Mar 17 22:55:15 GMT 2024","67","Cypress.env()","","","","","Get environment variables",""
"passed","Sun Mar 17 22:54:37 GMT 2024","Sun Mar 17 22:54:37 GMT 2024","230","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Sun Mar 17 22:55:10 GMT 2024","Sun Mar 17 22:55:10 GMT 2024","68","Connectors",".then()","","","","yields the original subject without return",""
"passed","Sun Mar 17 22:55:19 GMT 2024","Sun Mar 17 22:55:20 GMT 2024","249","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Sun Mar 17 22:54:58 GMT 2024","Sun Mar 17 22:54:58 GMT 2024","84","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Sun Mar 17 22:55:13 GMT 2024","Sun Mar 17 22:55:13 GMT 2024","161","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sun Mar 17 22:54:57 GMT 2024","Sun Mar 17 22:54:57 GMT 2024","87","Traversal","","","","",".first() - get first DOM element",""
"passed","Sun Mar 17 22:55:15 GMT 2024","Sun Mar 17 22:55:15 GMT 2024","89","Cypress.Cookies","","","","",".debug() - enable or disable debugging",""
